datetime,UL,DL
2025/Sep/24 17:01:44,5.09,80.4
2025/Sep/24 17:01:46,5.09,61.3
2025/Sep/24 17:01:49,5.66,105.0
2025/Sep/24 17:01:52,4.6,97.6
2025/Sep/24 17:01:54,6.07,37.3
2025/Sep/24 17:01:57,3.12,49.8
2025/Sep/24 17:01:59,6.56,106.0
2025/Sep/24 17:02:02,5.38,28.9
2025/Sep/24 17:02:04,6.1,75.9
2025/Sep/24 17:02:07,5.61,20.7
2025/Sep/24 17:02:09,6.67,120.0
2025/Sep/24 17:02:12,5.64,65.8
2025/Sep/24 17:02:15,5.13,89.3
2025/Sep/24 17:02:17,6.62,48.9
2025/Sep/24 17:02:20,5.68,77.9
2025/Sep/24 17:02:22,5.66,40.7
2025/Sep/24 17:02:25,6.66,85.6
2025/Sep/24 17:02:27,5.1,97.0
2025/Sep/24 17:02:30,6.12,63.7
2025/Sep/24 17:02:32,4.04,40.2
2025/Sep/24 17:02:35,6.07,45.0
2025/Sep/24 17:02:38,5.63,42.7
2025/Sep/24 17:02:40,5.61,155.0
2025/Sep/24 17:02:43,6.12,100.0
2025/Sep/24 17:02:45,5.1,42.9
2025/Sep/24 17:02:48,6.62,108.0
2025/Sep/24 17:02:50,5.12,71.7
2025/Sep/24 17:02:53,5.1,90.9
2025/Sep/24 17:02:56,5.57,48.7
2025/Sep/24 17:02:58,5.59,48.4
2025/Sep/24 17:03:01,5.12,56.2
2025/Sep/24 17:03:03,4.0,30.9
2025/Sep/24 17:03:06,6.13,75.0
2025/Sep/24 17:03:08,4.3,18.1
2025/Sep/24 17:03:11,7.11,144.0
2025/Sep/24 17:03:14,4.59,113.0
2025/Sep/24 17:03:16,6.69,59.3
2025/Sep/24 17:03:19,5.12,102.0
2025/Sep/24 17:03:21,5.14,53.1
2025/Sep/24 17:03:24,7.09,43.7
2025/Sep/24 17:03:26,5.1,160.0
2025/Sep/24 17:03:29,6.6,126.0
2025/Sep/24 17:03:31,5.17,49.4
2025/Sep/24 17:03:34,7.68,70.5
2025/Sep/24 17:03:37,4.56,112.0
2025/Sep/24 17:03:39,6.13,87.7
2025/Sep/24 17:03:42,3.36,75.8
2025/Sep/24 17:03:44,5.1,48.5
2025/Sep/24 17:03:47,5.63,74.7
2025/Sep/24 17:03:49,4.64,44.1
2025/Sep/24 17:03:52,5.57,48.9
2025/Sep/24 17:03:54,5.64,88.6
2025/Sep/24 17:03:57,4.64,93.0
2025/Sep/24 17:04:00,5.62,110.0
2025/Sep/24 17:04:02,4.03,86.8
2025/Sep/24 17:04:05,5.1,74.1
2025/Sep/24 17:04:08,4.11,80.1
2025/Sep/24 17:04:10,6.12,74.7
2025/Sep/24 17:04:13,5.12,67.4
2025/Sep/24 17:04:15,5.61,80.0
2025/Sep/24 17:04:18,3.14,39.2
2025/Sep/24 17:04:21,3.14,44.3
2025/Sep/24 17:04:23,5.09,33.0
2025/Sep/24 17:04:26,5.08,37.1
2025/Sep/24 17:04:28,6.0,75.9
2025/Sep/24 17:04:31,5.73,11.9
2025/Sep/24 17:04:33,4.58,83.9
2025/Sep/24 17:04:36,6.12,63.6
2025/Sep/24 17:04:39,4.04,54.8
2025/Sep/24 17:04:41,7.11,50.5
2025/Sep/24 17:04:44,3.22,46.1
2025/Sep/24 17:04:46,4.47,58.8
2025/Sep/24 17:04:49,5.65,45.2
2025/Sep/24 17:04:51,3.64,34.1
2025/Sep/24 17:04:54,6.08,56.6
2025/Sep/24 17:04:57,4.19,133.0
2025/Sep/24 17:04:59,6.11,67.5
2025/Sep/24 17:05:02,4.55,63.0
2025/Sep/24 17:05:04,7.12,142.0
2025/Sep/24 17:05:07,5.03,106.0
2025/Sep/24 17:05:09,6.67,46.4
2025/Sep/24 17:05:12,5.54,55.1
2025/Sep/24 17:05:14,6.62,113.0
2025/Sep/24 17:05:17,5.69,50.9
2025/Sep/24 17:05:20,3.74,113.0
2025/Sep/24 17:05:22,6.11,114.0
2025/Sep/24 17:05:25,1.99,9.23
2025/Sep/24 17:05:27,5.09,31.6
2025/Sep/24 17:05:31,4.08,42.8
2025/Sep/24 17:05:34,5.1,45.1
2025/Sep/24 17:05:36,5.1,32.5
2025/Sep/24 17:05:39,5.45,45.2
2025/Sep/24 17:05:41,6.67,109.0
2025/Sep/24 17:05:44,1.28,90.7
2025/Sep/24 17:05:46,7.08,94.4
2025/Sep/24 17:05:49,3.22,56.0
2025/Sep/24 17:05:51,7.09,92.2
2025/Sep/24 17:05:54,5.02,39.3
2025/Sep/24 17:05:57,6.14,98.1
2025/Sep/24 17:05:59,4.1,103.0
2025/Sep/24 17:06:02,6.12,125.0
2025/Sep/24 17:06:04,5.08,94.1
2025/Sep/24 17:06:07,6.65,113.0
2025/Sep/24 17:06:09,4.71,69.7
2025/Sep/24 17:06:12,6.11,152.0
2025/Sep/24 17:06:15,2.38,75.3
2025/Sep/24 17:06:17,6.1,115.0
2025/Sep/24 17:06:20,5.02,9.44
2025/Sep/24 17:06:22,5.12,39.3
2025/Sep/24 17:06:25,4.65,61.2
2025/Sep/24 17:06:28,6.63,89.0
2025/Sep/24 17:06:30,5.09,77.1
2025/Sep/24 17:06:33,6.66,45.8
2025/Sep/24 17:06:35,4.58,71.0
2025/Sep/24 17:06:38,6.13,106.0
2025/Sep/24 17:06:40,5.13,75.9
2025/Sep/24 17:06:43,6.1,67.4
2025/Sep/24 17:06:46,4.59,49.9
2025/Sep/24 17:06:48,7.11,46.8
2025/Sep/24 17:06:51,4.65,61.7
2025/Sep/24 17:06:53,4.11,77.1
2025/Sep/24 17:06:56,4.62,100.0
2025/Sep/24 17:06:58,5.66,77.0
2025/Sep/24 17:07:01,6.19,62.0
2025/Sep/24 17:07:03,4.62,43.9
2025/Sep/24 17:07:06,4.61,81.0
2025/Sep/24 17:07:09,5.1,58.0
2025/Sep/24 17:07:11,6.11,48.0
2025/Sep/24 17:07:14,6.11,67.9
2025/Sep/24 17:07:16,3.69,96.9
2025/Sep/24 17:07:19,6.63,42.1
2025/Sep/24 17:07:22,5.09,78.6
2025/Sep/24 17:07:24,4.62,28.1
