Date Time,Max_RTT_ms,Sent_Packets,Received_Packets
2025/Sep/24 16:49:37,33.657,1,1
2025/Sep/24 16:49:38,48.216,1,1
2025/Sep/24 16:49:39,35.284,1,1
2025/Sep/24 16:49:41,38.847,1,1
2025/Sep/24 16:49:42,42.690,1,1
2025/Sep/24 16:49:43,47.562,1,1
2025/Sep/24 16:49:44,44.946,1,1
2025/Sep/24 16:49:45,36.549,1,1
2025/Sep/24 16:49:46,40.644,1,1
2025/Sep/24 16:49:47,47.155,1,1
2025/Sep/24 16:49:48,39.158,1,1
2025/Sep/24 16:49:50,38.528,1,1
2025/Sep/24 16:49:51,38.361,1,1
2025/Sep/24 16:49:52,44.906,1,1
2025/Sep/24 16:49:53,49.673,1,1
2025/Sep/24 16:49:54,47.868,1,1
2025/Sep/24 16:49:55,44.903,1,1
2025/Sep/24 16:49:56,46.691,1,1
2025/Sep/24 16:49:58,50.440,1,1
2025/Sep/24 16:49:59,36.227,1,1
2025/Sep/24 16:50:00,38.314,1,1
2025/Sep/24 16:50:01,35.884,1,1
2025/Sep/24 16:50:02,35.553,1,1
2025/Sep/24 16:50:03,52.434,1,1
2025/Sep/24 16:50:04,32.998,1,1
2025/Sep/24 16:50:06,34.725,1,1
2025/Sep/24 16:50:07,47.568,1,1
2025/Sep/24 16:50:08,35.620,1,1
2025/Sep/24 16:50:09,34.174,1,1
2025/Sep/24 16:50:10,31.771,1,1
2025/Sep/24 16:50:11,37.331,1,1
2025/Sep/24 16:50:12,37.145,1,1
2025/Sep/24 16:50:13,33.943,1,1
2025/Sep/24 16:50:15,37.794,1,1
2025/Sep/24 16:50:16,44.358,1,1
2025/Sep/24 16:50:17,37.562,1,1
2025/Sep/24 16:50:18,37.100,1,1
2025/Sep/24 16:50:19,32.379,1,1
2025/Sep/24 16:50:20,33.385,1,1
2025/Sep/24 16:50:21,41.471,1,1
2025/Sep/24 16:50:23,37.311,1,1
2025/Sep/24 16:50:24,34.600,1,1
2025/Sep/24 16:50:25,42.143,1,1
2025/Sep/24 16:50:26,32.052,1,1
2025/Sep/24 16:50:27,45.809,1,1
2025/Sep/24 16:50:28,33.500,1,1
2025/Sep/24 16:50:29,33.147,1,1
2025/Sep/24 16:50:30,43.939,1,1
2025/Sep/24 16:50:32,31.934,1,1
2025/Sep/24 16:50:33,32.268,1,1
2025/Sep/24 16:50:34,32.660,1,1
2025/Sep/24 16:50:35,36.542,1,1
2025/Sep/24 16:50:36,41.205,1,1
2025/Sep/24 16:50:37,32.277,1,1
2025/Sep/24 16:50:38,37.344,1,1
2025/Sep/24 16:50:39,35.683,1,1
2025/Sep/24 16:50:41,41.365,1,1
2025/Sep/24 16:50:42,41.127,1,1
2025/Sep/24 16:50:43,44.786,1,1
2025/Sep/24 16:50:44,34.755,1,1
2025/Sep/24 16:50:45,42.831,1,1
2025/Sep/24 16:50:46,31.409,1,1
2025/Sep/24 16:50:47,34.509,1,1
2025/Sep/24 16:50:49,34.879,1,1
2025/Sep/24 16:50:50,35.148,1,1
2025/Sep/24 16:50:51,42.655,1,1
2025/Sep/24 16:50:52,33.464,1,1
2025/Sep/24 16:50:53,32.499,1,1
2025/Sep/24 16:50:54,37.573,1,1
2025/Sep/24 16:50:55,33.143,1,1
2025/Sep/24 16:50:57,40.125,1,1
2025/Sep/24 16:50:58,44.188,1,1
2025/Sep/24 16:50:59,48.145,1,1
2025/Sep/24 16:51:00,37.100,1,1
2025/Sep/24 16:51:01,39.975,1,1
2025/Sep/24 16:51:02,40.670,1,1
2025/Sep/24 16:51:03,43.237,1,1
2025/Sep/24 16:51:04,32.370,1,1
2025/Sep/24 16:51:06,34.065,1,1
2025/Sep/24 16:51:07,32.386,1,1
2025/Sep/24 16:51:08,45.439,1,1
2025/Sep/24 16:51:09,42.230,1,1
2025/Sep/24 16:51:10,38.887,1,1
2025/Sep/24 16:51:11,43.807,1,1
2025/Sep/24 16:51:12,32.311,1,1
2025/Sep/24 16:51:14,40.468,1,1
2025/Sep/24 16:51:15,33.863,1,1
2025/Sep/24 16:51:16,38.994,1,1
2025/Sep/24 16:51:17,44.349,1,1
2025/Sep/24 16:51:18,33.660,1,1
2025/Sep/24 16:51:19,33.873,1,1
2025/Sep/24 16:51:20,37.685,1,1
2025/Sep/24 16:51:21,40.424,1,1
2025/Sep/24 16:51:23,45.306,1,1
2025/Sep/24 16:51:24,38.988,1,1
2025/Sep/24 16:51:25,42.983,1,1
2025/Sep/24 16:51:26,42.959,1,1
2025/Sep/24 16:51:27,38.219,1,1
2025/Sep/24 16:51:28,37.781,1,1
2025/Sep/24 16:51:29,38.121,1,1
2025/Sep/24 16:51:31,41.847,1,1
2025/Sep/24 16:51:32,42.840,1,1
2025/Sep/24 16:51:33,37.751,1,1
2025/Sep/24 16:51:34,37.639,1,1
2025/Sep/24 16:51:35,42.200,1,1
2025/Sep/24 16:51:36,46.018,1,1
2025/Sep/24 16:51:37,41.677,1,1
2025/Sep/24 16:51:38,37.472,1,1
2025/Sep/24 16:51:40,38.966,1,1
2025/Sep/24 16:51:41,37.580,1,1
2025/Sep/24 16:51:42,42.764,1,1
2025/Sep/24 16:51:43,45.234,1,1
2025/Sep/24 16:51:44,43.267,1,1
2025/Sep/24 16:51:45,39.294,1,1
2025/Sep/24 16:51:46,34.888,1,1
2025/Sep/24 16:51:48,34.932,1,1
