Date,Time,UL,DL
2025/Sep/04,23:13:05,5.28,10.7
2025/Sep/04,23:13:08,4.89,7.51
2025/Sep/04,23:13:11,6.09,12.3
2025/Sep/04,23:13:14,5.99,7.66
2025/Sep/04,23:13:15,8.22,7.43
2025/Sep/04,23:13:19,4.24,10.4
2025/Sep/04,23:13:22,4.03,10.4
2025/Sep/04,23:13:26,4.31,6.87
2025/Sep/04,23:13:29,8.47,7.65
2025/Sep/04,23:13:32,6.57,12.2
2025/Sep/04,23:13:35,6.65,9.44
2025/Sep/04,23:13:38,3.77,6.8
2025/Sep/04,23:13:41,1.66,5.82
2025/Sep/04,23:13:43,3.17,5.69
2025/Sep/04,23:13:47,1.82,3.9
2025/Sep/04,23:13:50,4.25,6.41
2025/Sep/04,23:13:53,11.7,12.0
2025/Sep/04,23:13:57,3.49,13.1
2025/Sep/04,23:14:00,3.18,8.37
2025/Sep/04,23:14:03,2.46,6.3
2025/Sep/04,23:14:06,0.57,1.76
2025/Sep/04,23:14:10,3.61,7.19
2025/Sep/04,23:14:14,7.49,6.26
2025/Sep/04,23:14:15,2.78,4.17
2025/Sep/04,23:14:19,3.15,12.6
2025/Sep/04,23:14:22,17.4,12.3
2025/Sep/04,23:14:25,3.02,33.7
2025/Sep/04,23:14:28,3.06,11.1
2025/Sep/04,23:14:33,5.55,11.4
2025/Sep/04,23:14:36,17.0,6.3
2025/Sep/04,23:14:39,3.82,17.8
2025/Sep/04,23:14:42,4.23,9.89
2025/Sep/04,23:14:45,5.17,8.47
2025/Sep/04,23:14:49,8.48,7.24
2025/Sep/04,23:14:52,2.52,7.49
2025/Sep/04,23:14:55,3.64,7.09
2025/Sep/04,23:14:58,4.9,4.49
2025/Sep/04,23:15:01,3.53,7.08
2025/Sep/04,23:15:02,1.09,2.46
2025/Sep/04,23:15:07,3.86,5.95
2025/Sep/04,23:15:10,6.53,7.29
2025/Sep/04,23:15:13,2.68,3.18
2025/Sep/04,23:15:17,2.43,3.16
2025/Sep/04,23:15:20,1.05,1.72
2025/Sep/04,23:15:21,3.41,3.88
2025/Sep/04,23:15:25,3.81,4.2
2025/Sep/04,23:15:27,5.52,8.84
2025/Sep/04,23:15:30,4.57,13.7
2025/Sep/04,23:15:34,33.4,15.9
2025/Sep/04,23:15:37,1.5,7.78
2025/Sep/04,23:15:40,1.46,2.58
2025/Sep/04,23:15:43,1.48,4.63
2025/Sep/04,23:15:47,2.14,12.0
2025/Sep/04,23:15:50,7.45,4.81
2025/Sep/04,23:15:53,3.58,12.9
2025/Sep/04,23:15:57,1.66,2.42
2025/Sep/04,23:16:01,1.47,4.25
2025/Sep/04,23:16:05,3.05,3.13
2025/Sep/04,23:16:08,3.44,10.0
2025/Sep/04,23:16:09,3.69,10.6
2025/Sep/04,23:16:13,2.12,6.26
2025/Sep/04,23:16:17,3.78,11.4
2025/Sep/04,23:16:20,2.4,14.4
2025/Sep/04,23:16:23,5.32,9.6
2025/Sep/04,23:16:24,4.65,4.49
2025/Sep/04,23:16:28,5.95,5.66
2025/Sep/04,23:16:32,5.38,9.2
2025/Sep/04,23:16:35,4.87,11.9
2025/Sep/04,23:16:38,5.87,8.88
2025/Sep/04,23:16:39,7.88,5.34
2025/Sep/04,23:16:41,1.45,6.89
2025/Sep/04,23:16:43,2.54,4.08
2025/Sep/04,23:16:49,2.4,8.37
2025/Sep/04,23:16:53,3.0,13.7
2025/Sep/04,23:16:56,2.46,7.79
2025/Sep/04,23:16:57,1.44,6.51
2025/Sep/04,23:17:04,1.6,7.6
2025/Sep/04,23:17:08,3.36,3.25
2025/Sep/04,23:17:11,1.77,3.09
2025/Sep/04,23:17:15,1.55,6.71
2025/Sep/04,23:17:19,2.75,7.61
2025/Sep/04,23:17:20,2.93,10.5
2025/Sep/04,23:17:26,5.45,8.24
2025/Sep/04,23:17:29,5.31,14.5
2025/Sep/04,23:17:32,1.69,8.12
2025/Sep/04,23:17:36,2.36,5.55
2025/Sep/04,23:17:39,3.35,7.77
2025/Sep/04,23:17:40,3.82,8.69
2025/Sep/04,23:17:47,1.77,2.38
2025/Sep/04,23:17:50,2.36,4.09
2025/Sep/04,23:17:54,6.63,15.2
2025/Sep/04,23:17:57,5.7,8.24
2025/Sep/04,23:17:58,9.12,12.4
2025/Sep/04,23:18:02,6.87,12.0
2025/Sep/04,23:18:05,5.62,13.0
2025/Sep/04,23:18:08,4.79,18.0
2025/Sep/04,23:18:09,11.1,11.5
2025/Sep/04,23:18:13,3.13,24.1
2025/Sep/04,23:18:16,2.86,14.4
2025/Sep/04,23:18:19,5.38,26.6
2025/Sep/04,23:18:23,3.04,9.52
2025/Sep/04,23:18:24,4.95,17.9
2025/Sep/04,23:18:33,4.81,11.3
2025/Sep/04,23:18:37,3.98,26.4
2025/Sep/04,23:18:38,1.55,6.96
2025/Sep/04,23:18:45,2.4,4.2
2025/Sep/04,23:18:46,0.57,1.7
2025/Sep/04,23:18:52,2.95,5.34
2025/Sep/04,23:18:55,1.52,4.23
2025/Sep/04,23:19:00,4.52,11.5
2025/Sep/04,23:19:01,4.41,7.48
2025/Sep/04,23:19:07,3.86,4.23
2025/Sep/04,23:19:10,5.34,7.52
2025/Sep/04,23:19:11,2.82,11.8
2025/Sep/04,23:19:16,2.37,9.88
2025/Sep/04,23:19:19,0.49,0.67
2025/Sep/04,23:19:23,3.5,6.35
2025/Sep/04,23:19:26,5.26,9.38
2025/Sep/04,23:19:29,1.59,4.21
2025/Sep/04,23:19:33,5.31,7.5
2025/Sep/04,23:19:34,2.48,5.9
2025/Sep/04,23:19:39,3.18,5.15
2025/Sep/04,23:19:42,5.94,1.32
2025/Sep/04,23:19:46,6.31,21.9
2025/Sep/04,23:19:49,3.1,13.9
2025/Sep/04,23:19:53,5.53,18.6
2025/Sep/04,23:19:54,4.08,17.9
2025/Sep/04,23:19:56,4.11,13.1
2025/Sep/04,23:20:01,2.46,4.85
2025/Sep/04,23:20:02,2.72,8.71
2025/Sep/04,23:20:06,5.83,8.55
2025/Sep/04,23:20:07,5.56,18.3
2025/Sep/04,23:20:11,3.61,18.1
2025/Sep/04,23:20:14,3.8,8.38
2025/Sep/04,23:20:18,3.06,36.8
2025/Sep/04,23:20:19,6.09,6.81
2025/Sep/04,23:20:22,6.32,6.13
2025/Sep/04,23:20:26,19.0,1.45
2025/Sep/04,23:20:29,4.42,20.6
2025/Sep/04,23:20:32,3.45,27.8
2025/Sep/04,23:20:33,2.4,4.75
2025/Sep/04,23:20:40,2.19,3.74
2025/Sep/04,23:20:43,5.1,7.13
2025/Sep/04,23:20:46,1.38,1.72
